Student,Assigned_Subject,Chosen_Choice,Number_of_Students
Student19,Chemistry,Choice3,
Student21,Mathematics,Choice4,
Student9,Mathematics,Choice2,
Student16,Chemistry,Choice3,
Student1,Mathematics,Choice1,
Student2,Chemistry,Choice1,
Student3,Physics,Choice1,
Student4,Mathematics,Choice1,
Student5,Physics,Choice1,
Student6,Mathematics,Choice1,
Student7,Physics,Choice1,
Student8,Chemistry,Choice1,
Student10,Physics,Choice1,
Student11,Mathematics,Choice1,
Student12,Chemistry,Choice1,
Student13,Physics,Choice1,
Student14,Chemistry,Choice1,
Student15,Mathematics,Choice1,
Student17,Chemistry,Choice1,
Student18,Mathematics,Choice1,
Student20,Physics,Choice1,
,Chemistry,,7.0
,Mathematics,,8.0
,Physics,,6.0
